time,rating,location,label
4/6/2020 0:35,0,1,sewer_and_water
4/6/2020 0:35,0,1,sewer_and_water
4/6/2020 1:20,0,1,sewer_and_water
4/6/2020 1:25,0,1,sewer_and_water
4/6/2020 1:35,0,1,sewer_and_water
4/6/2020 2:00,0,1,sewer_and_water
4/6/2020 2:15,4.242640687,1,sewer_and_water
4/6/2020 2:20,0,1,sewer_and_water
4/6/2020 2:25,5.656854249,1,sewer_and_water
4/6/2020 2:30,0,1,sewer_and_water
4/6/2020 3:00,0,1,sewer_and_water
4/6/2020 3:05,0,1,sewer_and_water
4/6/2020 3:50,0,1,sewer_and_water
4/6/2020 4:15,0,1,sewer_and_water
4/6/2020 4:40,0,1,sewer_and_water
4/6/2020 5:20,0,1,sewer_and_water
4/6/2020 6:25,0,1,sewer_and_water
4/6/2020 6:30,0,1,sewer_and_water
4/6/2020 6:40,0,1,sewer_and_water
4/6/2020 6:50,0,1,sewer_and_water
4/6/2020 7:00,0,1,sewer_and_water
4/6/2020 7:15,0,1,sewer_and_water
4/6/2020 7:40,1.414213562,1,sewer_and_water
4/6/2020 8:05,0,1,sewer_and_water
4/6/2020 8:20,0,1,sewer_and_water
4/6/2020 8:30,0,1,sewer_and_water
4/6/2020 9:15,0,1,sewer_and_water
4/6/2020 9:35,0,1,sewer_and_water
4/6/2020 9:45,0,1,sewer_and_water
4/6/2020 10:00,0,1,sewer_and_water
4/6/2020 10:25,0,1,sewer_and_water
4/6/2020 10:45,0,1,sewer_and_water
4/6/2020 11:15,0,1,sewer_and_water
4/6/2020 11:30,0,1,sewer_and_water
4/6/2020 11:40,0,1,sewer_and_water
4/6/2020 11:45,0,1,sewer_and_water
4/6/2020 12:00,3.535533906,1,sewer_and_water
4/6/2020 12:15,0,1,sewer_and_water
4/6/2020 13:15,0,1,sewer_and_water
4/6/2020 14:05,0,1,sewer_and_water
4/6/2020 14:10,0,1,sewer_and_water
4/6/2020 14:15,0,1,sewer_and_water
4/6/2020 14:25,0,1,sewer_and_water
4/6/2020 14:35,0,1,sewer_and_water
4/6/2020 14:45,0,1,sewer_and_water
4/6/2020 14:50,1.414213562,1,sewer_and_water
4/6/2020 15:10,0,1,sewer_and_water
4/6/2020 15:30,2.828427125,1,sewer_and_water
4/6/2020 15:40,0,1,sewer_and_water
4/6/2020 15:45,0,1,sewer_and_water
4/6/2020 15:50,2.121320344,1,sewer_and_water
4/6/2020 15:55,0,1,sewer_and_water
4/6/2020 16:00,0.707106781,1,sewer_and_water
4/6/2020 16:05,0,1,sewer_and_water
4/6/2020 16:10,0,1,sewer_and_water
4/6/2020 16:15,1.732050808,1,sewer_and_water
4/6/2020 16:20,0,1,sewer_and_water
4/6/2020 16:25,3.535533906,1,sewer_and_water
4/6/2020 16:30,0,1,sewer_and_water
4/6/2020 16:35,0,1,sewer_and_water
4/6/2020 16:40,0.577350269,1,sewer_and_water
4/6/2020 16:50,0,1,sewer_and_water
4/6/2020 16:55,0,1,sewer_and_water
4/6/2020 17:10,0.707106781,1,sewer_and_water
4/6/2020 17:25,7.071067812,1,sewer_and_water
4/6/2020 17:30,0,1,sewer_and_water
4/6/2020 17:40,0,1,sewer_and_water
4/6/2020 17:45,0,1,sewer_and_water
4/6/2020 17:50,0,1,sewer_and_water
4/6/2020 17:55,0,1,sewer_and_water
4/6/2020 18:05,0.707106781,1,sewer_and_water
4/6/2020 19:05,0,1,sewer_and_water
4/6/2020 19:15,0,1,sewer_and_water
4/6/2020 19:20,0,1,sewer_and_water
4/6/2020 19:30,0,1,sewer_and_water
4/6/2020 19:45,6.363961031,1,sewer_and_water
4/6/2020 20:35,0,1,sewer_and_water
4/6/2020 20:45,0,1,sewer_and_water
4/6/2020 21:35,0,1,sewer_and_water
4/6/2020 21:45,0,1,sewer_and_water
4/6/2020 22:00,4.949747468,1,sewer_and_water
